,rownum,sno,CUI1,CUI2,lesk,vector
387,387,37,C2690671,C3503443,9,0.0542
388,388,38,C1922483,C2701229,8,0
389,389,39,C1467891,C1646984,6,0.0749
390,390,40,C0159294,C3548787,40,0.1254
391,391,41,C1543330,C2531916,25,0.2285
392,392,42,C0112720,C2826264,7,0.074
393,393,43,C0761991,C2698092,1811,0.6643
394,394,44,C3258119,C3387505,1,0
395,395,45,C0206417,C1618312,93,0.1107
396,396,46,C0254648,C3593927,13,0.2175
397,397,47,C3439868,C3946020,14,0.6382
398,398,48,C3597275,C4021791,16,0.0679
399,399,49,C1974585,C3982605,12,0.7555
400,400,50,C2463824,C2650454,7,0.0491
401,401,51,C1053651,C1543522,28,0.2376
402,402,52,C1500904,C3907633,12,0.0319
403,403,53,C2815318,C3126038,22,0.1422
404,404,54,C0330161,C3214983,14,0.0146
405,405,55,C0710965,C3425579,13,0
406,406,56,C0504655,C0943265,35,0.2654
407,407,57,C1669449,C3713061,14,0.0204
408,408,58,C2433819,C3260784,20,0.2937
409,409,59,C2560955,C3617576,1,0
410,410,60,C1575203,C3425299,4,0.142
411,411,61,C1265660,C2295411,1,0
412,412,62,C0597261,C1053548,1,0.014
413,413,63,C0731960,C1859506,74,0.4274
414,414,64,C0883372,C2384660,1,0
415,415,65,C1201691,C3775949,4,0.0882
416,416,66,C0933661,C1600143,29,0.0022
417,417,67,C2574116,C2700228,21,0.0446
418,418,68,C1814315,C2661319,19,0.1546
419,419,69,C3957118,C4037785,10,0.1517
420,420,0,C0945139,C0956611,14,0.0299
421,421,1,C1196527,C1943179,1,0.0297
422,422,2,C1000833,C2676666,44,0.0862
423,423,3,C2755690,C3426104,1,0.0508
424,424,4,C1236999,C3765997,1,0
425,425,5,C1865942,C3552821,20,0.1378
426,426,6,C0527999,C3410217,1,0
427,427,7,C1836817,C2754618,25,0.0647
428,428,8,C1870631,C2943072,9,0.0142
429,429,9,C0589114,C1936121,4,0.0714
430,430,10,C1421719,C3420968,20,0.1033
431,431,11,C2817702,C3237740,16,0.0159
432,432,12,C1126663,C3247286,85,0.2615
433,433,13,C1868346,C3553084,17,0.1534
434,434,14,C1459146,C2760059,1024,0.9327
435,435,15,C3378889,C3724321,22,0.0592
436,436,16,C2486502,C3823895,12,0.0102
437,437,17,C0046226,C0597522,1234,0.1669
438,438,18,C0043901,C1846868,69,0.2408
439,439,19,C0331323,C0927826,6,0.0229
