,CUI1,CUI2,vector
349,C3621054,C1891958,0.0361
350,C0005388,C0193498,0.0766
351,C0796846,C2677566,0.0967
352,C2708607,C1589068,0.0937
353,C0551207,C1684347,0.5863
354,C1053143,C3999236,0.0569
355,C2297680,C0801252,0.0517
356,C3269547,C0485964,0.0471
357,C1332073,C0027341,0.6007
358,C0022521,C3827548,0.2274
359,C2606355,C3720466,0.1027
360,C1813943,C0242363,0.2333
361,C1593810,C2949910,0.0000
362,C0242702,C3489449,0.1612
363,C0484683,C1436273,0.2051
364,C1316616,C4044489,0.1084
365,C0036973,C1412439,0.1205
366,C3938946,C0942667,0.0000
367,C0873041,C1680097,0.1088
368,C3370054,C1677216,0.0303
369,C2598799,C3529423,0.2062
370,C0051113,C3048186,0.2087
371,C0019243,C2996241,0.3014
372,C3547302,C2506920,0.0507
373,C2622507,C3504735,0.0576
374,C1323726,C0280397,0.0218
375,C2701510,C0662062,0.3457
376,C0124901,C0057144,0.1727
377,C2992981,C0798696,0.1795
378,C1066811,C0614748,0.0352
379,C3275519,C0961903,0.0950
380,C0945057,C0221085,0.2110
381,C0622116,C0589995,0.0256
382,C1482325,C0162607,0.0881
383,C1717475,C1414052,0.2092
384,C0978151,C1284676,0.1863
385,C0089793,C1454847,0.3815
386,C0708669,C2535247,0.3916
387,C0484309,C3366057,0.1178
388,C0221011,C0425661,0.2752
389,C3152144,C1519620,0.2844
390,C3393236,C1327860,0.2165
391,C0835205,C3010484,0.3308
392,C2926057,C2624380,0.0435
393,C1645951,C3938874,0.2821
394,C0206393,C0694891,0.4512
395,C0503064,C1963710,0.0000
396,C3175761,C1537489,0.1324
397,C1205099,C2925730,0.0000
398,C1423067,C2718135,0.2381
399,C0551487,C1508017,0.0972
400,C3107094,C0700473,0.1030
401,C1977201,C3420003,0.2028
402,C0802123,C1062826,0.8271
403,C3961441,C0485237,0.2522
404,C1678166,C2970259,0.3517
405,C1416208,C0487239,0.0293
406,C3699138,C2792380,0.0923
407,C1147036,C3347146,0.0779
408,C1612140,C3106430,0.0594
409,C0103403,C2736523,0.0462
410,C2425988,C3929118,0.0000
411,C0736295,C0205823,0.3719
412,C3934823,C2774406,0.4184
413,C1307990,C3370682,0.1768
414,C2402200,C0086769,0.2269
415,C0942851,C0011849,0.6967
416,C0279790,C0164662,0.4671
417,C0818838,C0058217,0.1356
418,C0772502,C3217968,0.4581
419,C1976846,C0680727,0.2011
420,C1039987,C1226604,0.1603
421,C0739758,C2771199,0.0501
422,C0363894,C1639214,0.3090
423,C3082510,C3325329,0.0688
424,C2700283,C2271145,0.0452
425,C0867551,C1825990,0.0126
426,C3538860,C0882449,0.1221
427,C2736015,C3318658,0.0276
428,C3169590,C2428367,0.2338
429,C1954115,C0229094,0.3246
430,C0720106,C0977575,0.0962
431,C3871521,C0364564,0.2129
432,C3178296,C2923613,0.1117
433,C3565689,C3146630,0.0445
434,C0040997,C0368258,0.4551
435,C2787911,C0974022,0.0000
436,C2523787,C1670079,0.0165
437,C2598904,C0630738,0.0526
438,C3769275,C0363859,0.1644
439,C3902260,C2923922,0.0694
440,C1860157,C3072410,0.3825
441,C2534335,C0268419,0.4604
442,C3581488,C3630317,0.0745
443,C0879832,C3339356,0.2846
444,C3800209,C1625249,0.1473
445,C1666936,C3180088,0.0489
446,C2722519,C3957571,0.1814
447,C3486634,C1714579,0.0640
448,C0976675,C0022140,0.3025
449,C0802866,C1073691,0.0096
450,C2442629,C1954551,0.0851
451,C2692715,C2829629,0.1132
452,C0063739,C0229721,0.1343
453,C0229020,C0280779,0.2818
454,C0369231,C3317752,0.1387
455,C0364125,C2941368,0.0769
456,C3166148,C1922127,0.0175
457,C3728273,C1889587,0.9885
458,C0069939,C1213137,0.0694
459,C1161474,C2631215,0.0245
460,C3537452,C0329847,0.0000
461,C2546489,C0032414,0.0942
462,C1185605,C0031837,0.1638
463,C3893584,C3812001,0.2720
464,C3843640,C3348038,0.1142
465,C3340374,C0525097,0.2614
466,C1716408,C2943861,0.1637
467,C0342200,C2663027,0.3848
468,C1412324,C3044554,0.0686
469,C0268621,C2393443,0.2888
470,C2999089,C3471414,0.0447
